"filename", "language", "Python", "HTML", "CSS", "JavaScript", "comment", "blank", "total"
"c:\Users\SENAI\Desktop\Cantina-Virtual--NKTcompany\Projeto TCC\adm.py", "Python", 282, 0, 0, 0, 107, 140, 529
"c:\Users\SENAI\Desktop\Cantina-Virtual--NKTcompany\Projeto TCC\app.py", "Python", 829, 0, 0, 0, 115, 413, 1357
"c:\Users\SENAI\Desktop\Cantina-Virtual--NKTcompany\Projeto TCC\carrinho.py", "Python", 195, 0, 0, 0, 93, 80, 368
"c:\Users\SENAI\Desktop\Cantina-Virtual--NKTcompany\Projeto TCC\conexao.py", "Python", 10, 0, 0, 0, 0, 3, 13
"c:\Users\SENAI\Desktop\Cantina-Virtual--NKTcompany\Projeto TCC\perfil.py", "Python", 84, 0, 0, 0, 9, 31, 124
"c:\Users\SENAI\Desktop\Cantina-Virtual--NKTcompany\Projeto TCC\relatorio.py", "Python", 42, 0, 0, 0, 70, 31, 143
"c:\Users\SENAI\Desktop\Cantina-Virtual--NKTcompany\Projeto TCC\sistema.py", "Python", 269, 0, 0, 0, 99, 103, 471
"c:\Users\SENAI\Desktop\Cantina-Virtual--NKTcompany\Projeto TCC\sms.py", "Python", 46, 0, 0, 0, 0, 11, 57
"c:\Users\SENAI\Desktop\Cantina-Virtual--NKTcompany\Projeto TCC\static\js\hora.js", "JavaScript", 0, 0, 0, 20, 5, 8, 33
"c:\Users\SENAI\Desktop\Cantina-Virtual--NKTcompany\Projeto TCC\static\styles\atualizarDadosIniciais.css", "CSS", 0, 0, 148, 0, 0, 30, 178
"c:\Users\SENAI\Desktop\Cantina-Virtual--NKTcompany\Projeto TCC\static\styles\cad-produto.css", "CSS", 0, 0, 229, 0, 14, 53, 296
"c:\Users\SENAI\Desktop\Cantina-Virtual--NKTcompany\Projeto TCC\static\styles\cadastro.css", "CSS", 0, 0, 240, 0, 9, 44, 293
"c:\Users\SENAI\Desktop\Cantina-Virtual--NKTcompany\Projeto TCC\static\styles\carrinho.css", "CSS", 0, 0, 200, 0, 25, 38, 263
"c:\Users\SENAI\Desktop\Cantina-Virtual--NKTcompany\Projeto TCC\static\styles\editarMarmita.css", "CSS", 0, 0, 121, 0, 9, 20, 150
"c:\Users\SENAI\Desktop\Cantina-Virtual--NKTcompany\Projeto TCC\static\styles\editarProdutos.css", "CSS", 0, 0, 68, 0, 3, 11, 82
"c:\Users\SENAI\Desktop\Cantina-Virtual--NKTcompany\Projeto TCC\static\styles\fontes.css", "CSS", 0, 0, 21, 0, 2, 6, 29
"c:\Users\SENAI\Desktop\Cantina-Virtual--NKTcompany\Projeto TCC\static\styles\historico.css", "CSS", 0, 0, 87, 0, 0, 21, 108
"c:\Users\SENAI\Desktop\Cantina-Virtual--NKTcompany\Projeto TCC\static\styles\inicial.css", "CSS", 0, 0, 432, 0, 28, 106, 566
"c:\Users\SENAI\Desktop\Cantina-Virtual--NKTcompany\Projeto TCC\static\styles\login.css", "CSS", 0, 0, 145, 0, 1, 32, 178
"c:\Users\SENAI\Desktop\Cantina-Virtual--NKTcompany\Projeto TCC\static\styles\marmita.css", "CSS", 0, 0, 296, 0, 26, 66, 388
"c:\Users\SENAI\Desktop\Cantina-Virtual--NKTcompany\Projeto TCC\static\styles\media\media-recebePedido.css", "CSS", 0, 0, 16, 0, 0, 10, 26
"c:\Users\SENAI\Desktop\Cantina-Virtual--NKTcompany\Projeto TCC\static\styles\perfil.css", "CSS", 0, 0, 142, 0, 3, 23, 168
"c:\Users\SENAI\Desktop\Cantina-Virtual--NKTcompany\Projeto TCC\static\styles\perfilVisaoAdm.css", "CSS", 0, 0, 133, 0, 8, 24, 165
"c:\Users\SENAI\Desktop\Cantina-Virtual--NKTcompany\Projeto TCC\static\styles\produto.css", "CSS", 0, 0, 136, 0, 5, 26, 167
"c:\Users\SENAI\Desktop\Cantina-Virtual--NKTcompany\Projeto TCC\static\styles\recebePedido.css", "CSS", 0, 0, 205, 0, 6, 37, 248
"c:\Users\SENAI\Desktop\Cantina-Virtual--NKTcompany\Projeto TCC\static\styles\relatorio.css", "CSS", 0, 0, 71, 0, 0, 15, 86
"c:\Users\SENAI\Desktop\Cantina-Virtual--NKTcompany\Projeto TCC\static\styles\trocar-senha.css", "CSS", 0, 0, 138, 0, 0, 29, 167
"c:\Users\SENAI\Desktop\Cantina-Virtual--NKTcompany\Projeto TCC\static\styles\verificacao.css", "CSS", 0, 0, 75, 0, 1, 20, 96
"c:\Users\SENAI\Desktop\Cantina-Virtual--NKTcompany\Projeto TCC\templates\atualizar_dados_iniciais.html", "HTML", 0, 30, 0, 0, 0, 6, 36
"c:\Users\SENAI\Desktop\Cantina-Virtual--NKTcompany\Projeto TCC\templates\cad-produto.html", "HTML", 0, 179, 0, 0, 6, 32, 217
"c:\Users\SENAI\Desktop\Cantina-Virtual--NKTcompany\Projeto TCC\templates\cadastrar.html", "HTML", 0, 95, 0, 0, 1, 15, 111
"c:\Users\SENAI\Desktop\Cantina-Virtual--NKTcompany\Projeto TCC\templates\carrinho.html", "HTML", 0, 254, 0, 0, 0, 23, 277
"c:\Users\SENAI\Desktop\Cantina-Virtual--NKTcompany\Projeto TCC\templates\editarMarmita.html", "HTML", 0, 103, 0, 0, 3, 14, 120
"c:\Users\SENAI\Desktop\Cantina-Virtual--NKTcompany\Projeto TCC\templates\editarProduto.html", "HTML", 0, 53, 0, 0, 3, 7, 63
"c:\Users\SENAI\Desktop\Cantina-Virtual--NKTcompany\Projeto TCC\templates\historico.html", "HTML", 0, 97, 0, 0, 1, 21, 119
"c:\Users\SENAI\Desktop\Cantina-Virtual--NKTcompany\Projeto TCC\templates\index-adm.html", "HTML", 0, 141, 0, 0, 0, 23, 164
"c:\Users\SENAI\Desktop\Cantina-Virtual--NKTcompany\Projeto TCC\templates\index.html", "HTML", 0, 179, 0, 0, 4, 23, 206
"c:\Users\SENAI\Desktop\Cantina-Virtual--NKTcompany\Projeto TCC\templates\inicialAdm.html", "HTML", 0, 68, 0, 0, 0, 7, 75
"c:\Users\SENAI\Desktop\Cantina-Virtual--NKTcompany\Projeto TCC\templates\login.html", "HTML", 0, 52, 0, 0, 0, 16, 68
"c:\Users\SENAI\Desktop\Cantina-Virtual--NKTcompany\Projeto TCC\templates\marmita.html", "HTML", 0, 154, 0, 0, 3, 20, 177
"c:\Users\SENAI\Desktop\Cantina-Virtual--NKTcompany\Projeto TCC\templates\modelo-adm.html", "HTML", 0, 89, 0, 0, 2, 18, 109
"c:\Users\SENAI\Desktop\Cantina-Virtual--NKTcompany\Projeto TCC\templates\modelo.html", "HTML", 0, 93, 0, 0, 1, 13, 107
"c:\Users\SENAI\Desktop\Cantina-Virtual--NKTcompany\Projeto TCC\templates\nova-senha.html", "HTML", 0, 31, 0, 0, 0, 6, 37
"c:\Users\SENAI\Desktop\Cantina-Virtual--NKTcompany\Projeto TCC\templates\perfil.html", "HTML", 0, 67, 0, 0, 3, 14, 84
"c:\Users\SENAI\Desktop\Cantina-Virtual--NKTcompany\Projeto TCC\templates\produto.html", "HTML", 0, 57, 0, 0, 14, 13, 84
"c:\Users\SENAI\Desktop\Cantina-Virtual--NKTcompany\Projeto TCC\templates\recebePedido.html", "HTML", 0, 207, 0, 0, 3, 26, 236
"c:\Users\SENAI\Desktop\Cantina-Virtual--NKTcompany\Projeto TCC\templates\relatorio.html", "HTML", 0, 82, 0, 0, 0, 12, 94
"c:\Users\SENAI\Desktop\Cantina-Virtual--NKTcompany\Projeto TCC\templates\trocar-senha.html", "HTML", 0, 25, 0, 0, 0, 17, 42
"c:\Users\SENAI\Desktop\Cantina-Virtual--NKTcompany\Projeto TCC\templates\usuario.html", "HTML", 0, 51, 0, 0, 2, 4, 57
"c:\Users\SENAI\Desktop\Cantina-Virtual--NKTcompany\Projeto TCC\templates\verificacao-troca-senha.html", "HTML", 0, 54, 0, 0, 0, 10, 64
"c:\Users\SENAI\Desktop\Cantina-Virtual--NKTcompany\Projeto TCC\templates\verificacao.html", "HTML", 0, 50, 0, 0, 0, 11, 61
"c:\Users\SENAI\Desktop\Cantina-Virtual--NKTcompany\Projeto TCC\usuario.py", "Python", 160, 0, 0, 0, 115, 58, 333
"Total", "-", 1917, 2211, 2903, 20, 799, 1840, 9690